,year,month,day,Gcc,SW_IN_ERA,TA_ERA,TA_ERA_DAY,TA_ERA_NIGHT
1089,2019.0,12.0,26.0,0.3309299945831299,64.97241973876953,-0.6899775266647339,2.8600499629974365,-2.523250102996826
1090,2019.0,12.0,27.0,0.3312999904155731,46.0052490234375,-0.5599766373634338,3.184269905090332,-2.271059989929199
1091,2019.0,12.0,28.0,0.3289400041103363,51.251834869384766,2.8780221939086914,5.7086501121521,-0.9375600218772888
1092,2019.0,12.0,29.0,0.3296999931335449,92.50910949707031,-0.251922070980072,5.585330009460449,-3.0526700019836426
1093,2019.0,12.0,30.0,0.3294900059700012,43.4310417175293,0.6782025098800659,3.9046599864959717,-0.34106001257896423
1094,2019.0,12.0,31.0,0.3289499878883362,18.6842041015625,-0.1358620822429657,0.16437000036239624,-0.5961999893188477
1095,2020.0,1.0,1.0,0.32965999841690063,57.31806564331055,-1.4293321371078491,0.20200000703334808,-4.131869792938232
1096,2020.0,1.0,2.0,0.33044999837875366,77.22019958496094,-3.9534823894500732,-0.07564999908208847,-8.855380058288574
1097,2020.0,1.0,3.0,0.33180001378059387,80.8291244506836,0.4578116536140442,1.556149959564209,-0.10735999792814255
1098,2020.0,1.0,4.0,0.331169992685318,46.94291687011719,1.3532016277313232,3.430730104446411,0.1557299941778183
1099,2020.0,1.0,5.0,0.3310000002384186,42.06052017211914,0.08035041391849518,2.1107800006866455,-2.8257999420166016
1100,2020.0,1.0,6.0,0.3297500014305115,85.06916046142578,-4.178358554840088,-0.3994399905204773,-7.908100128173828
1101,2020.0,1.0,7.0,0.330020010471344,59.97247314453125,-1.7324854135513306,0.6829500198364258,-4.678619861602783
1102,2020.0,1.0,8.0,0.33035001158714294,75.82177734375,-1.4459362030029297,1.568660020828247,-3.514430046081543
1103,2020.0,1.0,9.0,0.32864999771118164,78.9620132446289,-5.5078444480896,1.7153300046920776,-12.523500442504883
1104,2020.0,1.0,10.0,0.3315800130367279,97.93873596191406,-4.9277873039245605,2.403470039367676,-7.325839996337891
1105,2020.0,1.0,11.0,0.33191999793052673,57.27260208129883,3.967801332473755,9.687199592590332,2.6197800636291504
1106,2020.0,1.0,12.0,0.32934999465942383,88.86997985839844,13.420409202575684,15.84862995147705,11.621999740600586
1107,2020.0,1.0,13.0,0.3279600143432617,80.37104797363281,1.5029829740524292,15.62405014038086,-3.881769895553589
1108,2020.0,1.0,14.0,0.32749998569488525,50.933387756347656,0.9544333219528198,4.363739967346191,-0.6500499844551086
1109,2020.0,1.0,15.0,0.3276900053024292,97.38468170166016,2.268728017807007,5.888339996337891,0.45987001061439514
1110,2020.0,1.0,16.0,0.3296999931335449,82.57093048095703,1.2532371282577515,6.760000228881836,-1.5976999998092651
